,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,nmean,MeanEventBV,nBV,MeanEventTES,nTES,MeanEventPCS,nPCS,MeanJump,nJump,MeanSpin,nSpin,MeanStep Seq,nstepseq,MeanChor Seq,nchorseq,MeanSS,nSS,MeanTR,NTR,MeanPE,nPE,MeanCO,nCO,MeanIN,nIN
37,🇺🇸,Lindsay Thorngren,2,1,0,0,0,186.54,3,91.73,3,101.21,3,85.67,3,6.79,30,3.99,18,4,6,4.1,1,7.25,6,6.96,6,7.07,6,7.15,6,7.03,6
38,🇺🇸,Amber Glenn,0,2,2,0,0,185.92,4,81.13,4,91.28,4,94.88,4,5.72,40,3.51,24,4.31,8,4.47,4,8.01,8,7.61,8,7.88,8,7.93,8,7.94,8
39,🇰🇷,Yeonjeong Park,0,1,1,0,0,185.09,2,89.5,2,95.81,2,90.78,2,5.97,20,4.01,12,4.09,4,3.84,2,7.6,4,7.3,4,7.49,4,7.57,4,7.57,4
40,🇦🇿,Ekaterina Ryabova,0,1,2,1,0,184.54,4,90.92,4,97.37,4,87.42,4,6.4,40,3.66,24,3.82,8,3.83,4,7.36,8,7.1,8,7.36,8,7.3,8,7.32,8
41,🇰🇷,Eunsoo Lim,0,0,2,0,0,183.13,2,82.8,2,90.12,2,94,2,5.94,19,3.57,12,4.33,4,3.61,2,8.06,4,7.7,4,7.77,4,7.92,4,7.9,4
42,🇰🇷,Jia Shin,2,0,0,0,0,181.03,2,88.51,2,99.59,2,82.44,2,6.67,20,3.89,12,4.79,4,Null,0,6.96,4,6.61,4,6.92,4,6.82,4,6.91,4
43,🇷🇺,Sofia Samodurova,0,0,1,0,0,180.59,1,83.84,1,93.36,1,87.23,1,6.03,10,3.6,6,4.08,2,3.29,1,7.41,2,7.07,2,7.24,2,7.38,2,7.43,2
44,🇯🇵,Yuhana Yokoi,0,0,2,1,0,178.78,3,86.18,3,90.93,3,88.52,3,5.88,30,3.52,18,3.37,6,4.21,3,7.48,6,7.05,6,7.4,6,7.36,6,7.44,6
45,🇨🇦,Kaiya Ruiter,2,0,0,0,0,178.76,2,89.95,2,95.5,2,83.76,2,6.45,20,3.73,12,4.31,4,Null,0,6.9,4,6.68,4,6.99,4,6.99,4,7.04,4
46,🇪🇪,Niina Petrõkina,2,3,0,1,0,177.01,6,86.1,6,92.82,6,84.86,6,6.02,60,3.59,36,4.24,12,3.94,4,7.05,12,6.87,12,7.02,12,7.09,12,7.14,12
47,🇺🇸,Audrey Shin,0,2,1,1,0,176.77,4,80.94,4,88.08,4,90.44,4,5.13,40,3.86,24,4.72,8,4.14,4,7.5,8,7.34,8,7.53,8,7.57,8,7.66,8
48,🇨🇭,Alexia Paganini,0,2,0,1,0,176.69,3,83.1,3,89.67,3,87.69,3,5.75,30,3.45,18,3.84,6,3.81,3,7.36,6,7.03,6,7.36,6,7.34,6,7.37,6
49,🇺🇸,Ava Marie Ziegler,2,0,0,0,0,175.58,2,85.79,2,91.15,2,84.43,2,6.31,20,3.3,12,4.1,4,Null,0,6.95,4,6.83,4,7.11,4,7.03,4,7.18,4
50,🇺🇸,Clare Seo,2,0,0,0,0,174.83,2,88.12,2,92.34,2,83,2,6.11,20,3.72,12,4.46,4,Null,0,6.95,4,6.7,4,6.99,4,6.98,4,7.05,4
51,🇧🇪,Nina Pinzarrone,2,0,0,0,0,174.59,2,90.96,2,96.73,2,78.36,2,6.45,20,4.08,12,3.86,4,Null,0,6.64,4,6.27,4,6.57,4,6.54,4,6.46,4
52,🇰🇷,Seoyeon Ji,2,1,0,0,0,172.1,3,87.42,3,93.11,3,78.99,3,6.54,30,3.32,18,3.36,6,3.2,1,6.78,6,6.24,6,6.64,6,6.53,6,6.45,6
53,🇩🇪,Nicole Schott,0,2,2,1,0,171.53,5,78.74,5,84.91,5,87.02,5,5.27,50,3.55,30,3.68,10,3.6,5,7.33,10,7.03,10,7.24,10,7.35,10,7.35,10
